Trial,ParticipantID,Saccade,Direction,Amplitude,Duration,PeakVelocity,MeanVelocity,Blink,StartTime,EndTime,StartX,StartY,EndX,EndY,Year,Task,ParticipantGender,SearchOrder,Item
6,2018-3_1_f1,5,LEFT,0.78,21,51.68,37.09,FALSE,1397,1417,313.7,195,277.7,177.6,2018,VisualSearch_Count,Female,1,eggs.jpg
6,2018-3_1_f1,6,DOWN,3.9,46,348.82,84.7,FALSE,1664,1709,280.2,179.3,416.6,299.6,2018,VisualSearch_Count,Female,1,eggs.jpg
6,2018-3_1_f1,7,LEFT,1.95,40,218.33,48.75,FALSE,2028,2067,432.1,326,342.6,370,2018,VisualSearch_Count,Female,1,eggs.jpg
6,2018-3_1_f1,8,RIGHT,2.48,40,276.51,62.1,FALSE,2310,2349,308.9,388.6,429.8,339.8,2018,VisualSearch_Count,Female,1,eggs.jpg
6,2018-5_1_m2,117,RIGHT,2.33,35,85.24,66.61,FALSE,38339,38373,1431.3,923.9,1564.4,899.2,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-6_3_m2,95,LEFT,1.05,19,54.35,55.01,FALSE,24184,24202,356.6,327.6,299.1,319.8,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2019-6_3_f22,90,UP,1.76,32,195.2,55.08,FALSE,24032,24060,570.3,103,530,44.7,2019,VisualSearch_Star,Female,2,eggs.jpg
6,2018-3_1_f1,11,UP,1.13,16,73.04,70.58,FALSE,3206,3221,279.2,554,283,507.5,2018,VisualSearch_Count,Female,1,eggs.jpg
6,2018-3_1_f1,12,DOWN,3.85,56,293.83,68.74,FALSE,3412,3467,290.9,508.1,427.5,632.7,2018,VisualSearch_Count,Female,1,eggs.jpg
6,2018-3_1_f1,13,DOWN,2.9,46,222.83,63.08,FALSE,3955,4000,429.4,625.3,460.5,745.7,2018,VisualSearch_Count,Female,1,eggs.jpg
6,2018-3_1_f1,14,DOWN,0.94,30,86.34,31.23,FALSE,4326,4355,458.1,778.3,484.2,813.8,2018,VisualSearch_Count,Female,1,eggs.jpg
6,2019-6_3_f22,95,RIGHT,2.47,36,270.8,68.57,FALSE,25536,25568,83.9,925,212.2,950,2019,VisualSearch_Star,Female,2,eggs.jpg
6,2019-6_3_f22,96,LEFT,0.8,16,80.9,49.91,FALSE,25800,25812,236.1,972.7,194.6,980.1,2019,VisualSearch_Star,Female,2,eggs.jpg
6,2019-6_3_f22,97,UP,8.83,44,406.1,200.6,FALSE,26068,26108,193.8,976.3,484.5,684.3,2019,VisualSearch_Star,Female,2,eggs.jpg
6,2019-6_3_f22,98,LEFT,4.73,32,317.9,147.86,FALSE,26376,26404,504.3,679.3,296.2,774,2019,VisualSearch_Star,Female,2,eggs.jpg
6,2019-6_3_f22,99,UP,4.88,28,364,174.12,FALSE,26620,26644,300.2,778.4,325.1,577.6,2019,VisualSearch_Star,Female,2,eggs.jpg
6,2019-6_3_f22,100,RIGHT,1.7,32,197.6,53.14,FALSE,26868,26896,344.3,577.4,428.2,578.7,2019,VisualSearch_Star,Female,2,eggs.jpg
6,2019-6_3_f22,101,LEFT,2.59,40,226.2,64.78,FALSE,27052,27088,441.8,584.6,315,600.4,2019,VisualSearch_Star,Female,2,eggs.jpg
6,2019-3_1_f11,20,RIGHT,0.5,12,62.5,41.89,FALSE,7184,7192,897.1,258.9,920.2,255.1,2019,VisualSearch_Count,Female,1,eggs.jpg
6,2019-3_1_f11,21,LEFT,3.64,32,210.1,113.81,FALSE,8092,8120,907.2,256.4,746.5,209.7,2019,VisualSearch_Count,Female,1,eggs.jpg
6,2019-3_1_f11,22,DOWN,1.66,20,127.9,82.99,FALSE,9800,9816,756,222.7,754.9,285.6,2019,VisualSearch_Count,Female,1,eggs.jpg
6,2019-3_1_f11,23,LEFT,3.67,32,215.5,114.56,FALSE,9988,10016,747.3,292.8,587.5,239.7,2019,VisualSearch_Count,Female,1,eggs.jpg
6,2019-3_1_f11,24,LEFT,3,28,193,107.17,FALSE,10320,10344,577.2,245.3,447.1,198.4,2019,VisualSearch_Count,Female,1,eggs.jpg
6,2018-5_1_m2,16,LEFT,2.98,29,159.18,102.84,FALSE,4728,4756,609.2,600,442.8,611.7,2018,VisualSearch_Star,Male,2,eggs.jpg
