Trial,ParticipantID,Fixation,Duration,PupilSize,PositionX,PositionY,StartTime,EndTime,Year,Task,ParticipantGender,SearchOrder,Item
1,2018-1_1_f1,24,218,4081,930.8,765.8,6194,6411,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,25,181,4175,747.9,544.1,6449,6629,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,26,216,4250,651.8,441.3,6657,6872,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,27,136,4262,405.9,413.4,7086,7221,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,28,171,4244,683.2,438.1,7256,7426,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,29,236,4205,1503.1,438.2,7480,7715,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,30,216,4438,1278.2,459.4,7761,7976,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,31,33,4627,826,219.6,8138,8170,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,32,193,4323,1606.6,193.8,8231,8423,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,33,246,3999,1685,182.1,8446,8691,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,34,218,3920,408.9,618,9084,9301,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,35,181,4109,453,674.2,9323,9503,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,36,231,4202,847,589.8,9541,9771,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,37,142,4246,1035.2,587.7,9796,9937,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,38,550,4414,808.9,579.2,9986,10535,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,39,275,4370,1296.3,620.1,10588,10862,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,40,159,4355,1294.4,584.1,10882,11040,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-1_1_f1,41,136,4283,1215.4,574,11060,11195,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-6_3_m2,1,400,1515,870,271.7,7,406,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,2,168,1634,960.3,714.4,460,627,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,3,217,1625,924,777.7,652,868,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,4,231,1697,870,617.8,912,1142,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2019-2_1_m,1,956,1837,780.7,408.4,0,952,2019,SocialEngagement,Male,NA,sheep.jpg
1,2019-2_1_m,2,156,1782,839.4,428.8,984,1136,2019,SocialEngagement,Male,NA,sheep.jpg
1,2019-2_1_m,3,1304,1903,847.2,447.9,1148,2448,2019,SocialEngagement,Male,NA,sheep.jpg
1,2019-2_1_m,4,120,2130,841.3,586.6,2480,2596,2019,SocialEngagement,Male,NA,sheep.jpg
1,2019-2_1_m,5,592,2235,839.5,622.6,2628,3216,2019,SocialEngagement,Male,NA,sheep.jpg
1,2019-2_1_m,6,696,2207,856.9,658.6,3240,3932,2019,SocialEngagement,Male,NA,sheep.jpg
1,2019-2_1_m,7,208,2139,864.8,623.7,3948,4152,2019,SocialEngagement,Male,NA,sheep.jpg
1,2019-2_1_m,8,380,2184,874.2,641.1,4164,4540,2019,SocialEngagement,Male,NA,sheep.jpg
1,2019-2_1_m,9,2296,2005,864.5,443.7,4592,6884,2019,SocialEngagement,Male,NA,sheep.jpg
1,2018-6_3_m2,14,290,1562,208.4,594.3,4150,4439,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,15,489,1533,245.3,589.5,4449,4937,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,16,817,1525,291.7,592,4946,5762,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,17,469,1524,315.8,607.9,5770,6238,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,18,195,1527,306.4,639.6,6253,6447,2018,VisualSearch_Count,Male,2,sheep.jpg
